Show,Sentiment,Review
Hannibal,1,"This is a wonderful, beautiful, and captivating plummet into madness."
Star Trek,0,"Season one changed the genre as we know it, and the second season equally so; it's just a crying shame that the third couldn't have made it a hat trick."
The Undoing,1,"It's best to strap into this smartly paced, beautifully acted, profoundly suspenseful roller coaster blindly, as I did."
Undone,1,"'Undone' uses the infinite nature of the multiverse to get to the bottom of character deficiencies and compounded generational trauma, just like light refracted through a raindrop, to produce a special season of television."
Sex/Life,0,A show that has no idea what kind of message it wants to send.
Anatomy of a Scandal,0,"A paint-by-numbers thriller that ostensibly investigates the nature of sexual consent without really making us feel invested in any of the characters involved, however well-acted."
Brave New World,0,"It's just never compelling, never engrossing and, worst of all, not thought-provoking to the degree it needs to be given its subject matter and acclaimed, if dated, source material."
The Last Days of Ptolemy Grey,1,“The Last Days of Ptolemy Grey” runneth over with life. It’s easy to forgive it for being a bit much.
Sharp Objects,1,"But the real reason to soak in ""Sharp Objects"" is to watch Camille sink deeper into her history, even as this comes to seem a worse and worse idea."
Rome,1,"Even when the narrative occasionally bogs down, the stellar and mostly European cast simply powers through it."
Avatar: The Last Airbender,1,A stalwart example of allegory's power to inform and inspire instead of merely offering escape.
The Office,1,"The humor's slightly darker than the American version, with more focus on characters' dissatisfaction with their dead-end job at a paper company, and Ricky Gervais steals every scene he's in as David Brent, the bumbling boss."
Feel Good,1,"Feel Good may not be everyone's piping-hot mug of kombucha, but there's grit, honesty and a daring kind of silliness here."
Y: The Last Man,1,"Y: The Last Man Offers a vision of a world turned upside down, but one in which, often troublingly, many of the pieces have landed in the same spots as before."
The Act,1,I was so interested in how the creators were going to tell this story... and I was floored by the result.
Acapulco,1,"Drama aside, the overall effect is gentle, sunny and laidback, and the show wears its easy charm well. Acapulco doesn't reinvent the wheel, but Las Colinas is a most pleasant place to spend some time."
The First Lady,0,"There's never quite enough from any one first lady, which leaves a sense of disappointment. It's unfortunately a show that is lesser than the sum of its Emmy- and Oscar-winning parts."
Twin Peaks,1,"What does it all mean? Hell if I know. But that's the fundamental joy of Twin Peaks: The Return, whose odd tonal shifts, scarily schizoid imagery, and mind-boggling train-of-thought digressions are unadulterated Lynch."
The Problem With Jon Stewart,1,"This Stewart is more earnest than the shrugging news anchor helming the steep decline of America. It'll take time for the show to resolve into what it can do best, but in the meantime, it is nice to have him back around."
13 Reasons Why,1,"Awkward, complex and extremely difficult to watch, It doesn't go out on a fluffy high, but stays true to its issues and discussing difficult subjects, it would break most strong-minded adults, let alone vulnerable teens."
Big Shot,1,I hope it gets renewed for a second season. A hidden gem!
The Outsider,1,"Hauntingly real and respectfully adhering to its book form from the outset, this is not only a win for Stephen King's 'Constant Readers', but it's also an absolute must-see for those that crave seriously intense thrillers."
Unbelievable,1,"There are several twists and turns throughout all eight episodes, but the series is cleverly plotted with just the right amount of reveals per episode to keep viewers tuned into the whole thing."
The Outsider,1,"The Outsider is a slow burn from the start, but still kept me on the edge of my seat. With multiple twists and turns, it is a true thriller - and more than worth a binge."
Pieces of Her,0,"Despite a gripping and finely acted opening act, this series fails to deliver on the type of artful suspense and nuance it hints at early on."
Better Call Saul,1,"It’s the privilege of watching a series as well written, well made, and well acted as Better Call Saul that is the real takeaway here, and the work that went into making it possible is likely to be the show’s legacy."
Loot,1,"'Loot' feels like a missed opportunity, as it burns through precious screen time establishing aesthetics, rather than focusing on character creation. Leaving a supremely strong cast to deliver depth, while story falls by the way side."
The Gilded Age,1,Downton Abbey's brash and saucy older cousin is superior in its glamour and games.
The Shrink Next Door,1,"An unbelievable cautionary tale that takes it's time, but delivers by the end. The ""how deep & far can this go?"" keeps you hooked. A tragedy with sprinkle of humor. [Full review in Spanish]"
Loki,0,"Loki could well improve, now that its arduous task of educating us about multiverses, and glumly explaining Loki to himself, is with any luck behind it. Let's hope so."
What If...?,1,"It's fun simply because the level of quality control at Marvel is pretty high these days, and because some of the ideas are either inherently appealing... But not every installment lives up to the title's seemingly limitless potential."
The Witcher,1,"Netflix's most popular, live-action fantasy series gets better in its sprawling second season, conjuring up a more coherent plot and eliminating the multiple timelines."
Tokyo Vice,1,"Mann’s glinting urban naturalism, with extended sequences that supplant dry exposition with telling images, creates a vivid foundation."
Veep,1,"Lording over it all with flawless precision is Louis-Dreyfus, who brings an undercurrent of seething desperation to Selina as she embarks on her last-chance campaign."
Stranger Things,1,"The charms and gruesome horrors are still there and as effective as ever, but with seven episodes all hovering around feature film length, but...the sheer size and scope is enough to test even the most devoted fan."
The Haunting of Hill House,1,"Some may find the story's slow-burning nature frustrating, but like Castle Rock, it's refreshing to see a psychological horror evolve a little more naturally than the usual rapid escalation."
Lovecraft Country,1,"""Lovecraft"" is overflowing with atmosphere: Its visuals are wrought in vivid colors and scored to kicky modern music (from Cardi B to Rihanna to ""The Jeffersons"" theme song)."
The Stand,1,"A sometimes dazzling, often frustrating, and undeniably assured effort that swings hard and occasionally connects. When it does, it's riveting television; when it doesn't, well, it's not boring."
Amazing Stories,0,"With only 52 minutes of running time, The Cellar feels like a TV movie condensed to the length of a TV episode. Its characters are painted in wide brush strokes."
Dark Winds,1,"Dark Winds is never edge-of-your-seat stuff, the series instead cooking at a satisfying simmer."
House of Cards,0,What was once macabre is now mundane.
Sex and the City,1,Nearly Seinfeldian in its ability to recreate the strange landscape of New York City with sharp insights and hilariously dead-on character portraits.
Shameless,0,"I understand that Shameless continues to find Frank useful, but the results are never actually interesting, nor do they ever add up to anything."
Mare of Easttown,1,"In its rock-solid sense of place, though, Mare of Easttown sticks to at least one infallible rule: Inglesby is clearly writing what he knows..."
Mare of Easttown,1,"Mare of Easttown is designed to be a limited series, so the self-contained aspect helps heighten both the character development and mystery-driven aspects of the series."
Ramy,1,"...a charming, melancholy meditation on the verboten."
Downton Abbey on Masterpiece,1,Our love for the characters enables us to overlook the vexing problems in the script.
Narcos,1,"I think by the last of the six episodes I watched, I was more engaged than at any point in the first two seasons, despite the lack of Moura."
24,1,"Even with its five-minute commercial breaks, 24: Live Another Day is much better than anyone could have expected, and promises to bring some zing to TV's spring."
Long Way Up,1,Up has a feeling akin to catching up with old friends after a long gap and it quickly reminds you of what you enjoyed about spending time in the company of these two best mates.
Waco,1,"Kitsch is quite convincing as Koresh. He plays Koresh as genuine, if not saintly, and that laconic Tim Riggins charisma is put to good use, or icky use if you keep waiting for the miniseries to find anything Koresh does problematic."
Homeland,0,"Overall the first four episodes made available for review plod along... But then, just as I'm about to write off this final season, something happens at the end of the fourth episode that pulls me right back in. Just like Carrie, I can't seem to let go."
Invasion,0,"Invasion doesn't appear to be all that interested in exploring, you know, the actual alien invasion bit of its plot - and that's a problem."
Landscapers,1,"For viewers without the patience for a more artistic approach to the true crime genre, Landscapers is unlikely to be their cup of tea. However, the premiere leaves plenty of questions to be answered if you're looking to see the mystery out until its end."
The Crown,1,"Once more, the second episode of the fourth season returns The Crown to what makes this soap opera so delectable: It's a royal family trapped in archaic rituals cowering in palaces in the hopes of continued survival."
Prehistoric Planet,1,"I didn’t think I needed a swimming T-Rex in my life, but now that I’ve seen it -- and now that Attenborough has talked me through the everyday trials and tribulations of your average meat-eating dino clan -- I don’t think I’ll ever be the same again."
WandaVision,1,"...for those willing to wait, showrunner Jac Schaeffer seems to be slowly building up the mystery, laying the foundation for the series by fully immersing it into the sitcom world that has become Wanda and Vision's new reality..."
Big Little Lies,0,The final episode seems to emerge from a lack of ideas about how to get these five women together again in the same room. It just doesn't work. [Full Review in Spanish]
True Detective,1,"With Mahershala Ali at the fore, True Detective has become compelling viewing once again."
Sharp Objects,0,"It has everything to be a hit, but Sharp Objects does not captivate. [Full Review in Spanish]"
Landscapers,1,Olivia Colman and David Thewlis give stellar performances in this true crime retelling that offers an empathetic perspective of a couple whose grasp on reality is questionable.
The Afterparty,1,"Its worth accepting the invite to iThe Afterpartyi, even if you might not be the best party of your life. The performances are fun, particularly from Tiffany Haddish and Ben Schwartz."
The X-Files,1,... a chance to make the show relevant to a new generation of viewers who aren't watching out of nostalgia or habit.
Borgen,1,"Add to this the superb acting by principal and supporting actors, and the brilliant, multifaceted performance by Sidse Babett Knudsen as Birgitte, and I have no reservations endorsing the fine political juggling on display in Borgen: Power & Glory."
Invincible,1,"Amazon's new animated series goes through familiar superhero motions, but its well-crafted and jaw-dropping twist will keep you engaged."
Treadstone,0,"As spy dramas go, this one is better left out in the cold."
Night Sky,0,"Night Sky begins as a beautiful coming-of-old-age story, but it splinters into an overstuffed sci-fi thriller."
Dr. Brain,1,"While the shows sci-fi leanings turned out to be a touch superficial, the project is carried off with such visual aplomb by director Kim... that its aesthetic delights largely make up for any narrative shortfalls."
Arcane: League of Legends,1,"There's a lot that works in Arcane: animation, characters, world-building, style."
Hawkeye,1,Hawkeye refreshes a character that had been pushed to the sidelines with undeniable chemistry and an incredibly promising new leading character.
Schmigadoon!,1,"A savvy send-up of classic Broadway, Schmigadoon! is probably the best time one can have with one's TV at the moment."
The Flight Attendant,1,"It's a great premise, but it has lost a little bit of its spark."
The Good Place,1,"One of the strongest, funniest, most delightfully weird network sitcoms of the decade kicks off its final season by getting back to basics."
Breaking Bad,1,"Well Breaking Bad, that was damned perfect. Not that we should have expected any less."
Cardinal,1,"Fortunately, Cardinal has reached the point when the personnel are more interesting than the perps, so we'll stick with it if only to find out if Lise and Cardinal ever do have that coffee. We'll stay for the snow-packed landscape too."
Justified,1,"Justified's soul rests not in its heart, but at its hip, right next to the gun holster."
Chloe,0,"It’s not that Chloe is awful... It’s just a bit implausible, and far too slick for its own good."
Night Sky,0,"After that first hour, you may be holding back tears. But after seven more, your eyes have glazed over, and even these luminous stars can’t bring you back to Earth."
WandaVision,0,"Once WandaVision starts recycling the same content in each episode, it becomes difficult to ignore that the show's primary interest is playing with form rather than propelling its story forward."
Gaslit,1,"An excellent cast holds together a strangely discordant mix of saccharine romantic scenes and over-the-top plots, digging into the weirder corners of American history with an absurdism that fits the current political climate."
Mr. Corman,1,Gordon-Levitt's engaging presence and sharply observed scripts make Mr Corman the sort of teacher you really want to spend your extracurricular hours with.
Glee,1,"The two episodes that marked the series' final season premiere were actually, dare I say it, good... ish. Yeah, let's go with ""good-ish."""
The Time Traveler's Wife,0,"Bad wigs, limp characterization, indifferent plotting."
The Witcher,1,"No matter if you've read and played everything or if you're entirely new to this world, you're going to have a blast."
The Boys,1,"The Boys remains the most depraved and delightfully unhinged series on TV, and while it tries to cram a little too much in, season 3 is a must-see and a great platform for the phenomenal Jensen Ackles to steal the show as Soldier Boy."
Brooklyn Nine-Nine,1,"I don't want to applaud the show for doing the right thing, but more so for ditching the work they'd done thus far in favor of a story that really examines the police and its role in society."
Safe,1,Those who enjoyed Broadchurch and Doctor Foster should definitely check out Netflix's latest British thriller Safe...
The White Lotus,1,"The White Lotus is a class-conscious comedy of manners, and it gets a ton of mileage out of its incredible and deep cast, who each play their variations on upper-class entitlement with subtlety and humor."
Ozark,1,"It's a season that takes us slowly to the end, and doesn't go out with a bang so much as a controlled burn. That's all very Ozark, but, after the breathtaking twists and turns of part 1, it all feels anticlimactic."
The Sex Lives of College Girls,1,"Even as it stumbles into some pitfalls, The Sex Lives of College Girls proves that there are plenty of ways for TV shows to tell college stories, especially when rooted in engagingly messy characters like these."
Borgen,1,All you can do is cross your fingers for her and for the world. But then hope was always Borgen’s renewable resource.
Barry,1,"In its long-awaited third season, iBarryi is as assured and morosely hilarious as ever."
Star Trek: Strange New Worlds,1,"Strange New Worlds comes closest in tone and storytelling style to the original series and the 1990s Next Generation-era shows, but its too-long episodes sometimes feel as plodding as the other recent “Treks."""
Outer Range,1,"A puzzle box of a program — and the weirder that Outer Range gets, and moodier as well, the more it intrigues and engrosses."
The Haunting of Hill House,1,"Hill House is fiercely slow-burning, but can also unleash a deluge of frights at a moment's notice. Audiences won't want it to stop, and it won't...for ten episodes, anyway."
Mayor of Kingstown,0,"[Mayor of] Kingstown, written by Sheridan, is another muscular soap that's long on characters talking in indecipherable lingo and short on clarity."
Sharp Objects,1,"Sharp Objects ultimately testifies to the triumph of survival, no matter how ugly or desperate a form it takes."
Godless,1,"The sun will never fully set on the Western, because it is the story of us, and, as great Westerns like Godless prove, a story that is far more complicated -- and far more relevant to our own time -- than white hats versus black hats."
My Brilliant Friend,1,"This isn’t a series about girls escaping into womanhood, but women shackled to their origins. That Lila and Lenù look as they did at 16 only reinforces the dark thesis that, for women who grew up poor in post-War Italy, reinvention is impossible."
The Americans,1,The good stuff is the Jennings family drama -- the way they behave with each other and present themselves to the world around them.
Stay Close,1,"The series is superficial trash, yes, but lovingly polished trash. I couldn't stop watching."
Rome,1,"""Rome"" is smart, dirty fun."
Mr. Corman,0,"Mr. Corman is billed as a ""comedy,"" somehow, but it's missing the laughs. It seems to be going for cringe comedy, but we just end up cringing. I felt more sad watching it than anything."
What If...?,0,"""What If...?"" is more of a ""WTF?"" Under all the bells and whistles, the Disney streamer is blatantly aiming to stave off losing Marvel subscribers with Saturday morning standard graphics and pretty rudimentary storytelling."
The Capture,1,A terrifically twisty and intensely suspenseful six-part spy thriller.
The OA,1,Watching it feels like being immersed in an interactive experience while taking psychedelics.
Sharp Objects,1,Very few TV shows these days try and create an original visual language which elevates the material and makes it stylish and sexy. Sharp Objects does that in all its eight episodes.
Evil,1,"Evil, since its start, has always been an intriguing blend of frightening and weird, something that has only grown since switching from CBS proper to Paramount+. That shows no sign of slowing down here."
Killing Eve,1,"Killing Eve may not be as good as it used to be when Phoebe Waller-Bridge was at the helm, but it’s still great fun."
Little America,1,"It's a funny and bittersweet series, at once refreshing and achingly familiar-if at times a bit discomfiting in its careful avoidance of the uglier realities of living as a working-class immigrant in America."
The Muppet Show,1,"I'm struck by how much of the show wasn't meant to be comedy, but just an earnest celebration of theater and music with no punchline at all."
The Boys Presents: Diabolical,1,"Diabolical is meant for fans of the universe, by clear fans of the universe, an ambitious and lighter antidote to the more cynical and dark parent series. The diverse animation styles only enhance the unpredictable storytelling, gags, gore, and fun."
Russian Doll,1,"The show’s new season with Natasha Lyonne at the helm is more honest, more experimental, and more reflective of its maker."
Breaking Bad,1,"Enormously satisfying television, with thickly cinematic tension and psychological gamesmanship culminating in a shower of bullets and bloodshed."
George Carlin's American Dream,1,"[I]t paints a vivid, deeply insightful picture of someone who was less a nihilist than perpetually disappointed and heartbroken over the state of the world, and the country he loved."
Gaslit,1,Roberts and Penn’s sizzling chemistry contribute to the high entertainment value of Gaslit.
The Crown,0,You know there are problems with Gillian Anderson's performance from the moment the camera settles on her ashen Back to the Future hair.
Little Fires Everywhere,1,Little Fires Everywhere is still compulsively watchable and reasonably well-made. It's only frustrating to see the assembled potential and know it could have been better.
House of Cards,1,The new season of House of Cards doesn't feel like an arbitrary story overhaul in response to the #MeToo crisis. It feels right.
The Mysterious Benedict Society,0,"There is potential in here, though, especially through the committed performances from the cast. But right now The Mysterious Benedict Society needs more mysteries and fewer answers."
The Thing About Pam,1,"Despite an impressive supporting cast that includes Josh Duhamel and Judy Greer, it’s Zellweger who very much ensures the spotlight stays on her."
The Queen's Gambit,1,"...an instant classic, as meaningful to the literate over-thinker as to casual audiences, and exactly the kind of original project that rarely seemed to find purchase in cinema over the last few decades..."
The Ipcress File,0,"The world has turned, and turned again. These old games feel a bit silly, a bit staid: misplaced nostalgia masquerading as thrilling sensation."
Euphoria,1,Euphoria remains an imperfect gem that works best as a showcase for the next generation of towering acting talents.
The Office,1,"The Office should be commended for being based on a foreign series and becoming so distinctly its own entity, even despite its later shortcomings."
Mare of Easttown,1,"The success of the series is due in large part to Kate Winslet, who gives us a sublime performance. [Full review in Spanish]"
Key & Peele,1,"Did it at some point pass Chappelle's Show, for instance, as Comedy Central's best sketch series? I would say it did (though Inside Amy Schumer still has some time to catch up)."
Hacks,1,Set your worries aside because Hacks has done it again. Season 2 leans into its established strengths while recognizing new opportunities.
The Witcher,1,"Season two of The Witcher smartly leans into character building, helping temper the sometimes confusing mythology."
The Shrink Next Door,0,"No expense was spared in building sets and procuring costumes that make the socioeconomic details of this story come through crisply, but both characters are, in the end, ciphers."
Peacemaker,1,"""Peacemaker"" skewers the superhero genre - with respect - and serves up something different; an unconventional, laugh-out-loud romp that's as rude as it is enjoyable."
The Righteous Gemstones,1,"The Righteous Gemstones is as uproarious as ever in its second season, delivering laughs and horrified gasps with every scene. Praise be."
Peacemaker,1,"Every episode has a clever twist or two, and there are some very funny scenes."
"Doogie Kamealoha, M.D.",1,"More than anything, it feels like a single-camera version of a Disney Channel sitcom, as bright, earnest, and heartfelt as its lead."
The Gilded Age,1,"A great cast and high production value isn't enough to keep the show from feeling like a date retread of Downton Abbey, at least so far."
Mad Men,1,The main event tonight is the return of Mad Men with all of the style and swagger one expects from a show that's been playing at the height of TV possibilities since the start.
Little Fires Everywhere,1,"Subtle and not-so-subtle themes of institutional racism and class warfare are in the forefront throughout ""Little Fires Everywhere."""
Key & Peele,1,"Key and Peele returns to Comedy Central on Wednesday night with an exceedingly strong half-hour that once again demonstrates the range of not only the duo's performance skills, but their ideas as well."
Outer Range,1,"Outer Range proves to be unique, alluring, and infinitely odd. I applaud its approach to the unknown with a distinctive, massive anomaly that still takes a personal approach. Expertly acted, and wonderfully strange, it's a hit."
Community,1,"Community loves nothing more than pushing back against traditional industry standards, an impulse that shows no sign of abating in this strange sixth season."
The OA,1,"The only thing I'm sure of when it comes to The OA is that the process of watching and experiencing an episode is unlike the viewing of any other show on TV and, good or bad, there's value in that."
Marvel's Luke Cage,1,"It doesn't always succeed at its lofty aims, but it's far more audacious and distinctive because it explores the knotted reality of the characters' humanity rather than treat them as mere symbols."
Yellowjackets,1,...viewers willing to indulge the show's occasional storytelling excesses will be rewarded with a fresh take on the survival horror genre that's driven by a strong story and even stronger performances.
The Office,1,The Office is most appealing when it's most appalling.
The Crown,1,"There is a welcome, absorbing quality to jumping back into ""The Crown."""
Big Shot,1,A surprisingly fantastic show. John Stamos is a gem and a talent!
"Love, Victor",1,"The series that brought normalcy and vital representation to the gay community ends its run in fine form. This is a touching and fitting send-off for the hit, inclusive teen drama."
The Good Place,1,"The show has made me a better person for a different reason, because I do believe in is the show's real message - that we owe it to each other to create a better life right now."
Bridgerton,1,"From the overdressed sets to the overdressed cast, it is a show that indulges our basest qualities, but does so delightfully."
WandaVision,1,"""A Marvel deep-dive into America's treasure chest of telly treats"""
Limitless,0,A good sci-fi flick forced into a generic procedural TV show.
The Crown,1,No longer are we gazing at expensively made period drama about barely knowable people. We are looking in the rearview mirror at people and events that galvanized the world not long ago.
The Wheel of Time,0,"I never felt like I was watching an unfolding story, but I absolutely felt like I was watching the whiteboard in a writers room, more the pushing of note cards toward a destination than an adventure."
Mare of Easttown,0,"It's nice that HBO has turned out another handsomely produced, manifestly serious mini-series for the wonderful actress Kate Winslet. It would be nicer if those series were worth her time and talent."
Steven Universe,1,"Steven Universe is a beacon of purity, reminding us of who and what we could all be if we weren't so jaded. When I watch it, I smile."
The Flight Attendant,1,Kaley Cuoco is a whole new Cassie as spy antics lead to perplexing mystery...
Alias Grace,1,"Paquin plays the part beautifully, not just the death scenes but the slow-building deterioration of her relationship with Grace, bitter rivalry twisting a superficially pleasant connection into an emotionally explosive situation."
True Detective,0,Mahershala Ali is the most notable thing about this third season that desperately tries to imitate the first season. [Full Review in Spanish]
Westworld,1,“Westworld” is essentially giving us the “The Matrix” sequel that we never got.
A Teacher,0,It takes its sweet time getting anywhere and it's not an engaging trip. Both Ms. Mara and Mr. Robinson create characters who are sympathetic but also uninteresting; neither provides a reason to hang on.
Yellowjackets,1,"Yellowjackets is the best new television show in a decade, with one of the strongest pilots ever made."
Angelyne,1,"Thanks in large part to Rossum’s deeply sympathetic and almost protective performance, “Angelyne” turns Angelyne into the kind of star she always wanted to be."
The Twilight Zone,1,William Shatner blessed us with his overacting in this airborne episode.
Star Wars: Visions,1,"For an anthology, Star Wars: Visions is remarkably consistent in its quality. There are no flat-out bad episodes in the bunch, though some are stronger than others."
Hacks,1,Season 2 remains interested in the storylines of all these fantastic characters.
Reacher,1,"None of this is unpredictable or that original, what works is how “Reacher” delivers what it promises as a TV entertainment in the style of old-school muscled adventures."
Loki,1,"Loki is a fun, weird, occasionally awkward shift away from the Marvel cinematic aesthetic that gives one of its central and most popular players room to be both exactly what we expect him to be and also the space to be something more than we've seen."
Catastrophe,0,"It's often snobby and more than occasionally mean. It has a thin, subtle story, and lacks memorable set pieces."
The Wheel of Time,1,"The Wheel Of Time is off to a flawed beginning, but it's still fun and exciting and I care about the characters and hope they succeed against The Dark One."
Hawkeye,1,"Adapting Matt Fraction and David Aja's character-defining run of Hawkeye is no easy feat, but in the new Disney+ series, it's clear that Marvel understands the assignment."
Hannibal,1,"In this, Hannibal remains beautifully consistent as one of the most poetic shows on television."
The Stranger,1,"Anyone who binged The Five or Safe is likely to do the same with The Stranger, which delivers the same sort of empty-calorie thrills."
The Mighty Ducks: Game Changers,1,"Because it's a series, Game Changers has more layers than a film. While Alex initially insists they just play for fun, by the end of episode two Evan says losing every game isn't fun, ensuring this series will have some smarts to accompany its big heart."
24,1,"The first two episodes are a welcome invitation to the same old song and dance, but everyone involved will need to freshen up the choreography."
The Leftovers,1,"Nora's story is recognizable to anyone who's suffered trauma. It reflects a certain fantasy, even."
BoJack Horseman,1,An elegant conclusion for a complicated story.
Fargo,1,"There's no show like it on TV, and no better time than now to catch up."
